column1;accent;age_range;gender;location;province;userid
189;neofalante;less-19;not-shared;not-shared;not-shared;95334c31-0fab-402a-9893-2e56e17f7e90
190;normativo;range-20_29;not-shared;other-location;other-location;ce751932-4e78-49cd-9c99-854de646a847
191;neofalante;not-shared;not-shared;not-shared;other-location;07c3f0ca-1cd2-4ace-b231-7c6208ea73d4
192;neofalante;range-20_29;masculino;36057;36;bccf59ae-4930-4510-aab1-8b25460382cc
193;not-shared;not-shared;not-shared;not-shared;not-shared;7467120a-7b1d-4ca5-9d9e-80181ee76f50
194;oriental;range-50_59;femenino;other-location;other-location;088df797-8f2d-4186-8178-b18e8c99e74a
195;neofalante;range-20_29;masculino;36057;36;fcbe25d4-e787-4e8b-b703-bf597131e291
196;not-shared;not-shared;not-shared;not-shared;not-shared;cb60ec1d-23ee-405c-9ba6-44c5ffeeb13c
197;oriental;range-40_49;masculino;15030;15;1f098576-ffe2-4ecf-895a-7c7b36a65234
198;oriental;range-20_29;femenino;27049;27;4145ab3d-7fde-4b0d-9c7f-f2353fd0752f
199;neofalante;range-20_29;masculino;15030;15;675a2c1c-7252-4971-a7e2-501265e20d5c
200;neofalante;range-20_29;masculino;15030;15;53052455-0819-426a-92e8-6669e5bd5cb7
201;neofalante;range-20_29;masculino;15030;15;07f5c7c7-7871-4c20-9118-598c405572e6
202;neofalante;range-20_29;masculino;15030;15;90feeff6-4462-4cce-916e-15c18aadf3e2
203;neofalante;range-20_29;masculino;15030;15;19f4faea-e198-4e55-92e2-e5917c74226b
204;atlantico;less-19;femenino;27044;27;b907640f-9ad7-4622-875a-3a16a85ce6cc
205;atlantico;less-19;femenino;27018;27;7a988153-1559-41af-b600-8dfa29e5c77c
206;normativo;less-19;femenino;15001;15;b24cb212-b0a6-4c35-a93b-857a16015a84
207;central;range-30_39;masculino;27044;27;9b8e9ef2-c3a4-4857-9632-15a5d093f76c
208;normativo;range-30_39;masculino;32034;32;1a481731-4f76-4a84-a44c-d9fe2ad0ddcd
209;neofalante;range-20_29;masculino;15018;15;aab9e895-5c1c-4cd0-a9bd-a4a3cbf62cc0
210;oriental;range-20_29;femenino;27049;27;5336ebaf-e3f0-4a63-bea3-bb210a464b78
211;central;range-40_49;masculino;32034;32;947384f8-fdb7-4bc2-bff0-b39161cb2bb2
212;atlantico;range-20_29;masculino;27044;27;7e735a33-b467-4d7f-b14b-ffab094c3778
213;not-shared;range-50_59;not-shared;27002;27;0b6cd0c0-e61f-4f8a-b557-a58d73f1d800
214;atlantico;range-20_29;femenino;27044;27;8b364c05-59e2-4f53-b5ef-25ee6ee9473a
215;central;range-40_49;masculino;27044;27;6339118c-6bc6-4d5f-b009-bc95046415b8
216;normativo;less-19;nobinario;15067;15;af1ee2ea-6783-41aa-b0cf-1e1312fd9b98
217;central;less-19;femenino;27044;27;8b988020-520f-4e85-9754-2a956e85d669
218;atlantico;range-20_29;femenino;27044;27;f2e309b7-ddf6-4c3e-b14d-b70c8e329a5b
219;central;range-30_39;masculino;32014;32;f9bd560d-9a2a-4546-86b2-04e5e3f8028b
220;central;range-20_29;femenino;27018;27;111f6dd0-bad7-4359-9658-4a36b3b0f19f
221;neofalante;range-20_29;masculino;36057;36;22d607e6-b25d-4ecd-a7a3-d23681b48fa5
222;not-shared;less-19;femenino;15001;15;0cbddbbb-d885-4c8d-a0aa-7671adc1c957
223;neofalante;range-20_29;not-shared;15001;15;0c61e062-1897-4cda-ba4d-86bdbbd3ba19
224;atlantico;less-19;femenino;15067;15;a9a0de14-05de-4d78-a142-027d5fd72430
225;normativo;range-30_39;femenino;27001;27;ff5fd06d-c1b5-445a-9ff0-62590ed2a4d7
226;not-shared;less-19;nobinario;15001;15;a6fde38e-4b93-4cbc-b720-3a5767783e21
227;not-shared;not-shared;not-shared;not-shared;not-shared;9e26a506-6c9f-4a60-92e2-ef12f8ef2270
228;not-shared;not-shared;not-shared;not-shared;not-shared;3bb3910e-6f23-4d4a-9a9f-6fea6155fe07
229;neofalante;range-20_29;masculino;36057;36;dda9e9ed-43b8-47a2-875d-e0c7f94b9921
230;not-shared;not-shared;not-shared;not-shared;not-shared;8700cf62-0beb-4895-8f59-d22782dc2fb2
231;not-shared;range-20_29;not-shared;27001;27;958cac07-bd74-4b65-a2da-d720e1b4c4c8
232;not-shared;range-20_29;femenino;15018;15;d8790e7d-fdf6-43f3-8a6e-c7d7ec08a2b6
233;central;range-40_49;femenino;15089;15;bdd15e61-00de-4379-994f-b2a4f12fef62
234;not-shared;not-shared;not-shared;not-shared;not-shared;4342a34d-c8a2-4648-9c3e-443a85784dbf
235;not-shared;not-shared;not-shared;not-shared;not-shared;5e86b21e-4132-423a-9f7c-88f83f18afcc
236;neofalante;range-20_29;masculino;15058;15;7354bbaa-9ded-4acb-9f36-d5a413e852ff
237;normativo;range-40_49;masculino;15006;15;82e828f0-4a17-42eb-a40c-136da4334661
238;neofalante;range-20_29;masculino;36057;36;2361a10c-4bd8-485b-8d53-c3ed6cada4a0
239;neofalante;range-20_29;masculino;36057;36;0e7925ac-b84a-44f2-a4c4-540f6504cc53
240;not-shared;not-shared;not-shared;not-shared;not-shared;f5dd2a6a-5e3a-4224-9531-f41b15e28567
241;not-shared;not-shared;not-shared;not-shared;not-shared;1ddb5412-e91d-4f14-bfb9-756f555303c8
242;not-shared;not-shared;not-shared;not-shared;not-shared;35d76edc-51fd-46af-9e1b-531a9cfae38c
243;not-shared;not-shared;not-shared;not-shared;not-shared;1c181ef7-c9e4-4ad7-8bf5-8364b2783e0d
244;central;range-50_59;masculino;32004;32;1afc4a95-af18-44d9-9d14-d8abb3c2f62d
245;central;range-50_59;masculino;32004;32;495e871a-7f3c-41e2-b18a-484cdd9d9bff
246;neofalante;range-50_59;masculino;36042;36;926a7896-f5cb-4c34-b7d4-fcb847206b05
247;not-shared;not-shared;not-shared;not-shared;not-shared;c9451d49-3381-4c89-989b-adac4362043c
248;normativo;range-30_39;masculino;27001;27;ee242f93-daa8-4254-9650-ee9eed78c591
249;not-shared;range-20_29;femenino;15018;15;f6bae73a-1f50-4508-a651-39ee91cbf077
250;oriental;range-60_69;femenino;32014;32;3bec1ba4-3380-4725-b2af-2457d606bfc7
251;normativo;range-40_49;masculino;36057;36;ed2dcfcd-e156-440e-83e3-b194abb9ef2f
252;normativo;range-20_29;nobinario;27001;27;595058bd-2864-47e9-9f1c-84429c2ad178
253;neofalante;range-20_29;masculino;36042;36;49b3bc05-59b4-4464-82dd-94df048230dd
254;neofalante;less-19;femenino;15004;15;8a4332ae-1879-4ca6-9f68-37182264d444
255;not-shared;range-30_39;femenino;27028;27;acabebeb-2332-4296-b405-9ae469b5ce8c
256;normativo;range-30_39;femenino;36060;36;64541cd7-2ee0-4f5f-87f6-5e4488447ea7
257;neofalante;less-19;femenino;15004;15;95f4e1d5-1211-47ff-af63-2e7364a5b46b
258;neofalante;less-19;femenino;15004;15;0fbfd6a0-5c2b-49b0-828b-23207846f37d
259;neofalante;less-19;femenino;15004;15;6468c97c-b56b-4419-a5c2-d8b40d7d5e16
260;neofalante;less-19;femenino;15004;15;47bb9854-e89b-4bd8-90d0-606ba1c2ce67
261;neofalante;less-19;femenino;15004;15;d2736132-6f13-4bb2-bc54-f11df9eac53a
262;neofalante;less-19;femenino;15004;15;bbe2d7e8-da02-4ca2-a2dc-c10caa7e4356
263;neofalante;less-19;femenino;15004;15;fe0bed0b-de44-44d1-9439-7feec590fa68
264;neofalante;less-19;femenino;15004;15;b84491d8-217a-434b-8e08-2900243abecc
265;neofalante;less-19;femenino;15004;15;9c3b1b75-09bc-43ec-ad17-232fcb1bdb57
266;neofalante;less-19;femenino;15004;15;bda7a512-ebc5-4a95-b0f9-eae1c9d29a1b
267;neofalante;less-19;femenino;15004;15;33e8323d-4e89-454a-a164-4dc9f9c6655a
268;neofalante;less-19;femenino;15004;15;57a3ee0b-3928-4343-b0fd-e51cea3e6179
269;neofalante;less-19;femenino;15004;15;e85a96b3-91c9-4ba8-83d5-3ab3c214dc49
270;neofalante;less-19;femenino;15003;15;9aadf596-c498-4259-a8b1-158a07b470fc
271;central;range-30_39;masculino;not-shared;32;b14794da-00c9-4bfc-a56a-b525e05d5c93
272;central;range-40_49;masculino;32045;32;df429884-e72e-438a-b4de-6df80ae90663
273;not-shared;not-shared;not-shared;not-shared;not-shared;77dd2e01-d623-4a40-9d23-6ec265d8f789
274;central;less-19;masculino;36020;36;76f1318e-4165-43df-b685-17176b4c3f57
275;neofalante;less-19;femenino;15001;15;905a81e7-eaad-4174-9383-473859353976
276;normativo;less-19;femenino;15002;15;efde3bf1-70b5-468b-810c-514cfdd274d9
277;neofalante;less-19;femenino;15003;15;cbe4046e-49fc-4e3a-a40b-17fee858bc1e
278;neofalante;less-19;femenino;15018;15;e8d96893-e519-4e34-a0ab-71c457da491e
